id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
2741425,12/16/2023 10:05,http://200.69.57.16:32847/i,online,12/16/2023 10:25,malware_download,"32-bit,elf,mips,Mozi",https://urlhaus.abuse.ch/url/2741425/,geenensp
2741424,12/16/2023 9:36,http://200.69.57.16:32847/bin.sh,online,12/16/2023 10:34,malware_download,"32-bit,elf,mips,Mozi",https://urlhaus.abuse.ch/url/2741424/,geenensp
2741423,12/16/2023 9:32,http://123.173.89.140:42350/.i,online,12/16/2023 10:49,malware_download,hajime,https://urlhaus.abuse.ch/url/2741423/,geenensp
2741421,12/16/2023 8:42,http://39.174.238.80:63247/.i,online,12/16/2023 10:40,malware_download,hajime,https://urlhaus.abuse.ch/url/2741421/,misa11n
2741420,12/16/2023 8:42,http://222.246.126.37:21696/.i,online,12/16/2023 10:37,malware_download,hajime,https://urlhaus.abuse.ch/url/2741420/,misa11n
2741419,12/16/2023 8:42,http://110.183.153.170:9007/.i,online,12/16/2023 10:37,malware_download,hajime,https://urlhaus.abuse.ch/url/2741419/,misa11n
2741405,12/16/2023 8:42,http://117.82.6.144:56979/.i,online,12/16/2023 10:31,malware_download,hajime,https://urlhaus.abuse.ch/url/2741405/,misa11n
2741406,12/16/2023 8:42,http://219.85.59.58:44150/.i,online,12/16/2023 10:46,malware_download,hajime,https://urlhaus.abuse.ch/url/2741406/,misa11n
2741407,12/16/2023 8:42,http://110.182.191.115:35816/.i,online,12/16/2023 10:42,malware_download,hajime,https://urlhaus.abuse.ch/url/2741407/,misa11n
2741408,12/16/2023 8:42,http://180.116.57.40:18482/.i,online,12/16/2023 10:48,malware_download,hajime,https://urlhaus.abuse.ch/url/2741408/,misa11n
2741409,12/16/2023 8:42,http://223.13.80.108:47272/.i,online,12/16/2023 10:25,malware_download,hajime,https://urlhaus.abuse.ch/url/2741409/,misa11n
2741410,12/16/2023 8:42,http://180.115.74.229:10867/.i,online,12/16/2023 10:41,malware_download,hajime,https://urlhaus.abuse.ch/url/2741410/,misa11n
2741411,12/16/2023 8:42,http://110.183.51.255:11029/.i,online,12/16/2023 10:49,malware_download,hajime,https://urlhaus.abuse.ch/url/2741411/,misa11n
2741412,12/16/2023 8:42,http://110.181.119.202:45839/.i,online,12/16/2023 10:45,malware_download,hajime,https://urlhaus.abuse.ch/url/2741412/,misa11n
2741414,12/16/2023 8:42,http://110.183.55.49:35439/.i,online,12/16/2023 10:37,malware_download,hajime,https://urlhaus.abuse.ch/url/2741414/,misa11n
2741415,12/16/2023 8:42,http://106.41.138.182:4170/.i,online,12/16/2023 10:25,malware_download,hajime,https://urlhaus.abuse.ch/url/2741415/,misa11n
2741416,12/16/2023 8:42,http://110.183.51.126:46727/.i,online,12/16/2023 10:49,malware_download,hajime,https://urlhaus.abuse.ch/url/2741416/,misa11n
2741418,12/16/2023 8:42,http://123.173.91.149:43485/.i,online,12/16/2023 10:45,malware_download,hajime,https://urlhaus.abuse.ch/url/2741418/,misa11n
2741395,12/16/2023 8:42,http://123.240.46.61:53546/.i,online,12/16/2023 10:31,malware_download,hajime,https://urlhaus.abuse.ch/url/2741395/,misa11n
2741396,12/16/2023 8:42,http://114.239.148.207:17985/.i,online,12/16/2023 10:46,malware_download,hajime,https://urlhaus.abuse.ch/url/2741396/,misa11n
