,url_length,url_ip_in_domain,url_domain_entropy,url_is_digits_in_domain,url_query_length,url_number_of_parameters,url_number_of_digits,url_string_entropy,url_is_https,url_path_length,url_host_length,url_number_of_subdirectories,url_domain_len,url_num_subdomain,url_has_port,url_number_of_fragments,url_is_encoded,url_number_of_letters,url_num_periods,url_num_of_hyphens,url_num_underscore,url_num_equal,url_num_forward_slash,url_num_question_mark,url_num_semicolon,url_num_open_parenthesis,url_num_close_parenthesis,url_num_mod_sign,url_num_ampersand,url_num_at,has_secure_in_string,has_account_in_string,has_webscr_in_string,has_login_in_string,has_ebayisapi_in_string,has_signin_in_string,has_banking_in_string,has_confirm_in_string,has_blog_in_string,has_logon_in_string,has_signon_in_string,has_loginasp_in_string,has_loginphp_in_string,has_loginhtm_in_string,has_exe_in_string,has_zip_in_string,has_rar_in_string,has_jpg_in_string,has_gif_in_string,has_viewerphp_in_string,has_linkeq_in_string,has_getImageasp_in_string,has_plugins_in_string,has_paypal_in_string,has_order_in_string,has_dbsysphp_in_string,has_configbin_in_string,has_downloadphp_in_string,has_js_in_string,has_payment_in_string,has_files_in_string,has_css_in_string,has_shopping_in_string,has_mailphp_in_string,has_jar_in_string,has_swf_in_string,has_cgi_in_string,has_php_in_string,has_abuse_in_string,has_admin_in_string,has_bin_in_string,has_personal_in_string,has_update_in_string,has_verification_in_string
url_length,1.0,-0.016470273562109942,0.03849843844253332,-0.017679023417527064,0.5387758365663446,0.3601800312368371,0.7611652057594303,0.47403704964865256,0.048102961742905806,0.35997518460179867,0.20530801425726702,0.2198172362782157,0.05657429498036378,0.16191751358696072,-0.04090488312288675,,0.22357988584788507,0.9765275103437453,0.2827985648454962,0.3025304641555942,0.19702618968532906,0.37326715633700885,0.3436477681503367,0.30572158823899875,0.18008044643769383,0.0045342121785109215,0.004047919793418486,0.21794195142136547,0.34423054856640456,0.04045826912918846,0.05012888020837854,0.09710761330706603,0.15265024799894583,0.21975596278637088,0.022159265900009537,0.0802544520171243,0.01305589928632745,0.06805687495529864,0.015943620675989194,0.01550982842795731,0.013622026214509954,0.010728589155112465,0.04803914493051641,0.15647877932719975,-0.007943358916537677,0.007699120350163188,0.00821268812968976,-0.001203346174610836,0.006447803711247521,0.0033367437204681973,0.1430087535169492,,0.029458378624811238,0.12990791686474776,0.022732915834855774,,-0.0012179671590501226,-0.0002409799010101273,0.020121454917449013,0.012868566515644284,0.008447207203627178,0.01715023848076399,0.0021982466982840617,0.0018204613959794066,0.0015814851038845467,0.011198175132358924,0.11730032766666502,0.2052788199847621,0.016324960129249142,0.025559163899911048,0.05763775173763899,0.05860262427049976,0.06694001773889784,0.03012417273305872
url_ip_in_domain,-0.016470273562109942,1.0,-0.0010943092915762832,0.4109141768963268,0.011153129762498298,-0.0148790187178443,0.0753172092852477,-0.017696463421778313,-0.029694910711512906,-0.08854913263694965,0.06920701969499356,-0.03847032387728717,0.07873020044618478,-0.01593917106396501,-0.010667626747045375,,-0.011696606592443521,-0.043395970000686165,0.13364861462898753,-0.05113304626303447,-0.027507906053296314,-0.015319291226451669,0.05448386260973887,-0.028572456813407626,0.03075634548043052,-0.007692296127824608,-0.0076989320477086395,-0.005017101015851478,-0.004169589515390105,-0.0037858256684316625,-0.008326641567418679,0.04169168413898377,-0.006348453150849494,0.011857365904762425,0.0018257992896535047,0.06024940932759483,-0.0035854051786167497,-0.005246944065824796,-0.01910325914614477,-0.003015508623181935,-0.0018104377716753575,-0.002447398366549702,-0.004135987376269455,-0.008102084178046743,0.0288381002902119,0.000278170236675399,-0.001646392178842913,-0.0029280415073963963,-0.00037998093503419355,-0.00039926673206692434,-0.008492740322157601,,-0.0013135945375283085,-0.009304234727543015,-0.004968335556072769,,-0.0007289691729539291,-0.001476150409146805,-0.006292820865348749,-0.0022218697587554326,-0.0036030193344009894,-0.005735193750226302,-0.0005347492549946888,-0.002057820603205746,-0.0013376169359463382,-0.0007873795750564213,-0.008674016636089965,-0.03669648642200047,-0.0016624585675275023,-0.004148485997831732,0.001170290113960846,-0.005313036521720579,0.001015144408311134,-0.004303490647495723
url_domain_entropy,0.03849843844253332,-0.0010943092915762832,1.0,-0.04579612567775901,0.04557886030240292,0.07508831256545836,-0.03767176991179991,0.081015225143276,-0.08039756740672678,-0.011076305032376473,0.1034306125884312,-0.10899924561935967,0.8051931151449904,-0.012721459680033345,-0.016833574565159822,,-0.048618702716647706,0.06445106354120612,-0.014998594968272758,-0.006860254893300734,0.0106394929733337,0.07296233792171768,-0.08307855350012074,0.030946687636002085,-0.02060094799418911,-0.0032959199824068486,-0.002793313910293749,-0.08202623552000991,0.07886921201709311,-0.0037624690766370527,0.010516282053422863,0.01631437966606812,0.02313381511515213,-0.0035345456988237,0.005567908062233641,0.008204029407749969,0.003812179757767922,0.015189713640974661,0.014537410404334735,0.010675650679407265,0.008862529295066748,0.007430558147326102,0.015033055325564013,-0.008026564022823202,-0.0507608876369204,0.0034008485616715063,-0.0003730907178966925,0.01679255843347771,0.0038865113794474054,-0.0007725437399204063,0.03346431728976267,,0.018541090504592392,0.04774552624732585,0.009991606507348106,,0.0015910654975796077,-0.006241929181951256,-0.016531940026220587,0.010914929742719147,0.007191013749262477,0.008957654730423354,0.005506364843812543,0.005495944747096143,0.00830770172010982,-0.004321647034100317,0.0239774044301237,0.13878118506654907,0.00042873457852684,0.0217131948948917,0.014118324154239215,0.013633084016246464,0.019508050840001907,0.019241110774104578
url_is_digits_in_domain,-0.017679023417527064,0.4109141768963268,-0.04579612567775901,1.0,-0.013064229042609574,-0.03115780941566287,0.109358685836111,-0.011664945355656174,-0.014009385306916878,-0.07383577881515051,0.10351063595986543,-0.0662673255222158,0.017306004339584985,0.05114112766352448,0.35757555782399886,,-0.002032704077078113,-0.054301350877863856,0.1416257451394498,-0.0313202872664702,-0.037879350546515506,-0.029900024606534164,0.02109267849976177,-0.0296541480762096,0.014162373580988053,-0.011307880124857261,-0.0114400407634261,0.003765649035670104,-0.023793768396202186,0.008176461374040545,0.04878983063569327,0.0318822252250672,0.0006510950241805605,0.01744033139940758,0.011367148628602143,0.02808812876126238,0.006011847861623924,-0.0009415204219031205,-0.034410452056840464,-0.0011434900473339276,0.0002174910961110584,-0.0012194157813855842,0.005285449866996552,-0.011260136430377994,-5.1946786045697384e-05,-0.0013887145771953658,-0.0032245337663407013,0.0012761476866668226,0.0001658228211861767,-0.0009716547992640169,-0.012357225517381188,,-0.0034399587613105523,0.05092170910812262,-0.00675743455302862,,-7.893817651169884e-06,0.03391593604562708,-0.00784394552018176,0.002508034495327524,-0.0024947135233860476,0.0005606215015854668,-0.0018638052049893337,-0.004907888756596823,-0.0003674363103187096,-0.0002810462123482183,0.03724078107868423,-0.039002518393369115,-0.0024966200798220628,-0.002843991898729044,0.04013854813525868,0.020222351939151624,0.003785827521052548,0.013046277384341493
url_query_length,0.5387758365663446,0.011153129762498298,0.04557886030240292,-0.013064229042609574,1.0,0.7205526471834336,0.4603706160622514,0.4307276727460665,-0.007108146114060701,-0.11995983527372076,0.16388607376835315,-0.0693985618349222,0.05994110410821001,0.01656833460106366,-0.030916485369954325,,0.28077304725962904,0.471783852541318,0.2760570756474914,0.05428495638573449,0.2254555889091483,0.7249364782132695,0.1256997597329782,0.6412215942838221,0.2949477512095237,-0.004670030781064761,-0.005373047829190521,0.18908852540616916,0.6675977101819948,0.03401941498637518,0.027827634068569577,0.0911931554512487,0.10555961340202666,0.28443791365969506,0.027358455402554258,0.10988224440914315,0.002553635476245513,0.03446361007198818,0.0027609944721252826,0.01695380462057922,0.004392399947606057,0.021189558213034285,0.05101429633708335,0.24635058271978139,-0.02837874902235409,-0.0038952196615104546,0.005809272359105614,-0.007334854173921878,-0.00011113684294679513,0.006451213579432078,0.2650318394230247,,0.00703034638755564,0.05375514358808195,0.033081313968114485,,-0.0021384020221988766,0.007385825683964422,0.009831762867931679,0.0017831803287189903,-0.00758091160806784,0.008351756426561201,-0.0055479990926970355,-0.0026725782478189014,0.0030331921181334077,0.019774689710068044,0.020053713664359124,0.39532457776824775,0.0028064699952685223,0.007315298013687565,0.010148399881998286,0.06145598614866479,0.022379340413724663,0.009412133937429866
url_number_of_parameters,0.3601800312368371,-0.0148790187178443,0.07508831256545836,-0.03115780941566287,0.7205526471834336,1.0,0.17080507583711607,0.42716439889726804,-0.05004439520298795,-0.20964677985105268,0.2358024024382181,-0.13912072546100804,0.08935475276672218,-0.00670607652465451,-0.03676012664845505,,0.10313269490544061,0.3300296696682093,0.2279309062839029,-0.012981710913851117,0.2019336655780182,0.9808336648166645,0.07961204694512472,0.7303644937703787,0.21719808041740576,-0.012814079331977072,-0.012886761138243653,0.018508909227855645,0.9691297136256037,0.024223676501490196,0.02488404795577388,0.0585087590438721,0.03604186051740517,0.10291909737478852,0.03014656365473497,0.09928861650447074,-0.0024773949120441728,0.0022332447801165743,0.024928630104277764,0.004423642437228998,0.0015069982470468542,0.012412170516888792,0.01563035114952028,0.05960504109155808,-0.03463226171680146,-0.006052268546523957,-0.0018499284997325095,-0.01430897395342598,-0.001145904410822155,0.00554010323118366,0.10823365359255424,,0.002998353976859815,0.009706988329223194,0.0550793005156333,,-0.002547084218501312,0.01007635589230479,0.020939149718967463,-0.004897972681660849,-0.010043146707180841,-0.0006361563677873297,-0.006548811684676871,-0.004344669357708114,0.00783126216626168,0.018349886077099028,0.013920359438244222,0.5742980756336338,0.0016546964146056783,-0.0007882884080581176,0.002392259565502066,0.03599264574041777,0.000490865960457266,-0.0006794944902673612
url_number_of_digits,0.7611652057594303,0.0753172092852477,-0.03767176991179991,0.109358685836111,0.4603706160622514,0.17080507583711607,1.0,0.3718804049657501,0.0694472566782979,0.3498140210319569,0.11270262654838419,0.1785196033796602,-0.020492871577947516,0.261562458336408,0.07195351785215053,,0.2569257345992402,0.628696006842059,0.2863259067697809,0.14100035114213103,0.0915899816572028,0.18243022392594885,0.23501433713910508,0.1915711696321277,0.12302973977847763,-0.009585457012687728,-0.00989008613766488,0.372495318618058,0.14927841640203035,0.026422121706098173,0.049705357188751714,0.0792519198203543,0.2705437378756827,0.2476233099143021,0.008735667853717476,0.05385027867802336,0.0024810071018666565,0.11601541103700756,-0.011448380381052012,-0.00335939779087772,0.00777012658542272,-0.005677514851847022,0.08387604543270392,0.10733411336301224,0.030079347386838564,0.012923112958000556,0.010954504777161547,0.002335463617613832,0.00013524699320236532,0.0031366209429394315,0.10133500197340627,,0.019756545768671266,0.24452131700158627,0.002072509670821839,,-0.0021991741958887574,0.003319195788811458,0.00845397662197378,0.0003032444626807507,0.0027341729368004063,0.008598864107745298,-0.0021715633403706935,-0.0045302098337563065,-0.002293666918332209,0.005608257345166284,0.1856662627128582,0.07928008647576698,0.006813103312654606,0.016367464458784578,0.1017641059815425,0.03918932712108002,0.08250755028865193,0.05197534855188529
url_string_entropy,0.47403704964865256,-0.017696463421778313,0.081015225143276,-0.011664945355656174,0.4307276727460665,0.42716439889726804,0.3718804049657501,1.0,0.17286827306993702,0.3148121785891556,0.3478822563864413,0.2990985313641035,0.03130076910378582,0.13532190579137188,-0.07927487925148682,,0.14975786249633233,0.4232372318133681,0.32496120667891587,0.28920807748104344,0.2130781529581363,0.43821270487522784,0.45502637459595024,0.4641122916341829,0.10406884963441822,0.027181721522771984,0.026868801099326736,-0.019652563911948796,0.367098510998624,0.050130776329093296,0.0591662134359792,0.0660406330465709,0.14235486462134161,0.1861249743511591,0.016766473050006506,0.05006481873201922,0.013120101276873814,0.04559632587487588,0.044691642980756244,0.012725247420047825,0.00930453010990811,0.011007715244376697,0.04412391466751516,0.10073308484509748,0.06168326276072439,0.016815407485792112,0.011325321496321171,0.006688192687194966,0.006387048544655121,0.004251725443268721,0.1457175678083554,,0.03676792350484315,0.1224240768029348,0.026415333725233376,,-0.0005509101781362343,0.01372449416285013,0.034162696100158534,0.008421853549107051,0.01635328069225269,0.013773819208937365,0.004322552184468086,0.003814848199155939,0.004160168008386646,0.00589132339142075,0.10203089792689676,0.29825596358766737,0.011169995589581273,0.02787915215781338,0.06560545660246381,0.044291126523710485,0.053532632145513674,0.03129722643712787
url_is_https,0.048102961742905806,-0.029694910711512906,-0.08039756740672678,-0.014009385306916878,-0.007108146114060701,-0.05004439520298795,0.0694472566782979,0.17286827306993702,1.0,-0.13504066428894426,0.49155123611965695,-0.06762168206800512,-0.09397806385076618,0.03038603162531486,-0.02469160539732969,,-0.002266042019474912,0.03990668581297908,0.013656776852117433,-0.048620722658510925,-0.05620194727884632,-0.04981786424080511,0.14877910380893639,-0.050225848175614776,0.018871155601654144,-0.012839709680521682,-0.01269997248704977,0.004199976517326163,-0.044219345928962706,0.07303764174885594,-0.0003127362187865161,-4.7336321780902815e-05,-0.027980147604656846,0.0006796137909006857,-0.002975891017382122,0.010612399809331341,0.0012001885513424335,0.006055170205022749,-0.027016001159117044,0.008301632811555661,-8.589857162215893e-05,-0.005931169596000029,0.031310145896477994,-0.01405914565556659,0.2570687086530858,0.04676046515046948,0.01693616950149324,-0.01152696390129321,-0.0020320363265179126,0.0019739779841258707,-0.021435937086661357,,0.007804308659541191,-0.03085085286125857,-0.0007701439724146348,,-0.0019135445558834062,-0.003874895789683118,-0.011916822729451397,0.008908351328034036,-0.006619402895184941,0.009204871136149453,-0.006016069767776531,0.021430642633876527,0.0005485526155411964,-0.002066871899613432,-0.02259327958794263,-0.06994718168074845,0.013421862900262515,0.02040402673369871,-0.008737445826001484,0.027709344984250584,0.011366487336216058,0.023382516097598446
url_path_length,0.35997518460179867,-0.08854913263694965,-0.011076305032376473,-0.07383577881515051,-0.11995983527372076,-0.20964677985105268,0.3498140210319569,0.3148121785891556,-0.13504066428894426,1.0,-0.22646600314796356,0.580367250585434,-0.016101366873038262,0.2837934878131588,-0.10554774612674535,,0.13414165838707293,0.3058157745083753,0.14811261852447133,0.5412235039405592,0.15922346801374845,-0.19274400295788177,0.3783392152885522,-0.191072638441506,0.02903950120004227,0.026983958197956206,0.02763751228993997,0.2168769349149167,-0.18170037341655046,0.012581131029024363,0.07716992401315889,0.08596612789035386,0.2191845841645287,0.13259544070436882,0.017534495862103882,0.0271935228083318,0.02106787678656521,0.10451719215226518,0.0402407690883333,0.007758098010802979,0.021735243726457645,0.002148736724937731,0.02686417993904774,0.049028313639919816,-0.03314513498221298,0.012094444844991243,0.006533994437268465,-0.022425522285135103,0.008733238325653018,-0.0004063313720172761,-0.0519239900254587,,0.049893113374646414,0.2304177136045695,-0.0008397196209496259,,0.0018738692991107694,-0.0066303906177618945,0.028040467810080735,0.020276845299772927,0.030386355925582965,0.0202709526391929,0.01178906271709446,-0.0059829129376464335,-0.007370028923546067,0.00081091785123472,0.21241953164171595,-0.14643264495410022,0.005534629116832464,0.031056307928802797,0.11637084145376872,0.03568517299799571,0.10868898658432503,0.04415722769682395
